index	prediction	ground_trouth
0	Recipe	Recipe
1	Ingredient	Ingredient
2	Recipe	Preparation
3	Recipe	Recipe
4	Recipe	Preparation
5	Miscellaneous	Preparation
6	Preparation	Preparation
7	Preparation	Preparation
8	Temperature	Temperature
9	Time	Time
10	Ingredient	Ingredient
11	Cooking technique	Cooking technique
12	Ingredient	Preparation
13	Ingredient	Ingredient
14	Ingredient	Ingredient
15	Amount	Preparation
16	Temperature	Cooking technique
17	Ingredient	Cooking technique
18	Amount	Amount
19	Cooking technique	Knowledge
20	Preparation	Preparation
21	Time	Time
22	Time	Time
23	Knowledge	Cooking technique
24	Amount	Amount
25	Preparation	Preparation
26	Amount	Amount
27	Amount	Amount
28	Amount	Preparation
29	Cooking technique	Preparation
30	Time	Time
31	Preparation	Preparation
32	Preparation	Preparation
33	Ingredient	Ingredient
34	Preparation	Preparation
35	Amount	Amount
36	Knowledge	Knowledge
37	Amount	Amount
38	Preparation	Preparation
39	Preparation	Preparation
40	Recipe	Recipe
41	Ingredient	Ingredient
42	Amount	Amount
43	Ingredient	Ingredient
44	Cooking technique	Preparation
45	Recipe	Recipe
46	Recipe	Ingredient
47	Recipe	Ingredient
48	Ingredient	Ingredient
49	Amount	Amount
50	Amount	Amount
51	Recipe	Preparation
52	Preparation	Preparation
53	Amount	Amount
54	Preparation	Ingredient
55	Miscellaneous	Recipe
56	Amount	Amount
57	Amount	Ingredient
58	Preparation	Preparation
59	Recipe	Ingredient
60	Cooking technique	Recipe
61	Preparation	Preparation
62	Amount	Amount
63	Time	Preparation
64	Cooking technique	Cooking technique
65	Recipe	Recipe
66	Ingredient	Recipe
67	Ingredient	Cooking technique
68	Cooking technique	Cooking technique
69	Preparation	Preparation
70	Cooking technique	Preparation
71	Preparation	Preparation
72	Amount	Amount
73	Recipe	Meal
74	Cooking technique	Cooking technique
75	Ingredient	Ingredient
76	Cooking technique	Ingredient
77	Cooking technique	Ingredient
78	Amount	Amount
79	Ingredient	Ingredient
80	Ingredient	Ingredient
81	Preparation	Preparation
82	Ingredient	Ingredient
83	Preparation	Preparation
84	Amount	Amount
85	Cooking technique	Cooking technique
86	Recipe	Recipe
87	Recipe	Recipe
88	Recipe	Recipe
89	Ingredient	Recipe
90	Knowledge	Ingredient
91	Recipe	Ingredient
92	Recipe	Recipe
93	Recipe	Recipe
94	Knowledge	Knowledge
95	Recipe	Ingredient
96	Ingredient	Ingredient
97	Time	Time
98	Ingredient	Ingredient
99	Cooking technique	Preparation
100	Cooking technique	Preparation
101	Miscellaneous	Equipment
102	Recipe	Miscellaneous
103	Amount	Miscellaneous
104	Time	Time
105	Knowledge	Cooking technique
106	Cooking technique	Cooking technique
107	Ingredient	Ingredient
108	Cooking technique	Preparation
109	Amount	Amount
110	Amount	Ingredient
111	Ingredient	Ingredient
112	Preparation	Preparation
113	Cooking technique	Ingredient
114	Preparation	Preparation
115	Preparation	Preparation
116	Ingredient	Ingredient
117	Preparation	Preparation
118	Miscellaneous	Ingredient
119	Miscellaneous	Knowledge
120	Ingredient	Ingredient
121	Cooking technique	Cooking technique
122	Cooking technique	Cooking technique
123	Preparation	Preparation
124	Preparation	Preparation
125	Preparation	Preparation
126	Time	Ingredient
127	Preparation	Preparation
128	Recipe	Ingredient
129	Ingredient	Ingredient
130	Miscellaneous	Preparation
131	Amount	Amount
132	Ingredient	Knowledge
133	Time	Time
134	Amount	Time
135	Amount	Amount
136	Equipment	Equipment
137	Ingredient	Preparation
138	Ingredient	Ingredient
139	Preparation	Preparation
140	Preparation	Ingredient
141	Recipe	Ingredient
142	Cooking technique	Time
143	Ingredient	Ingredient
144	Time	Time
145	Preparation	Preparation
146	Ingredient	Ingredient
147	Ingredient	Ingredient
148	Ingredient	Ingredient
149	Ingredient	Ingredient
150	Amount	Amount
151	Amount	Amount
152	Amount	Amount
153	Ingredient	Ingredient
154	Recipe	Ingredient
155	Preparation	Preparation
156	Temperature	Temperature
157	Cooking technique	Ingredient
158	Cooking technique	Cooking technique
159	Recipe	Preparation
160	Recipe	Recipe
161	Recipe	Cooking technique
162	Ingredient	Ingredient
163	Cooking technique	Ingredient
164	Preparation	Preparation
165	Equipment	Equipment
166	Recipe	Recipe
167	Ingredient	Ingredient
168	Preparation	Preparation
169	Time	Time
170	Preparation	Preparation
171	Ingredient	Ingredient
172	Preparation	Preparation
173	Preparation	Preparation
174	Amount	Amount
175	Preparation	Preparation
176	Amount	Amount
177	Ingredient	Preparation
178	Amount	Amount
179	Ingredient	Cooking technique
180	Preparation	Cooking technique
181	Recipe	Recipe
182	Time	Time
183	Equipment	Equipment
184	Recipe	Recipe
185	Preparation	Ingredient
186	Preparation	Preparation
187	Preparation	Preparation
188	Preparation	Preparation
189	Amount	Amount
190	Time	Time
191	Temperature	Temperature
192	Amount	Amount
193	Amount	Amount
194	Preparation	Preparation
195	Preparation	Preparation
196	Preparation	Preparation
197	Amount	Amount
198	Amount	Amount
199	Ingredient	Preparation
200	Preparation	Ingredient
201	Amount	Amount
202	Cooking technique	Preparation
203	Time	Time
204	Cooking technique	Miscellaneous
205	Cooking technique	Cooking technique
206	Preparation	Preparation
207	Preparation	Preparation
208	Ingredient	Amount
