index	prediction	ground_trouth
0	Recipe	Recipe
1	Recipe	Recipe
2	Recipe	Recipe
3	Preparation	Preparation
4	Preparation	Preparation
5	Ingredient	Ingredient
6	Cooking technique	Recipe
7	Preparation	Preparation
8	Time	Preparation
9	Time	Amount
10	Amount	Amount
11	Time	Preparation
12	Preparation	Preparation
13	Time	Time
14	Amount	Amount
15	Preparation	Ingredient
16	Ingredient	Ingredient
17	Preparation	Preparation
18	Ingredient	Preparation
19	Ingredient	Ingredient
20	Preparation	Preparation
21	Preparation	Cooking technique
22	Preparation	Preparation
23	Cooking technique	Cooking technique
24	Recipe	Ingredient
25	Amount	Amount
26	Amount	Amount
27	Amount	Amount
28	Recipe	Preparation
29	Time	Time
30	Time	Preparation
31	Ingredient	Preparation
32	Preparation	Preparation
33	Cooking technique	Preparation
34	Preparation	Preparation
35	Preparation	Preparation
36	Recipe	Recipe
37	Recipe	Preparation
38	Preparation	Recipe
39	Equipment	Cooking technique
40	Ingredient	Ingredient
41	Cooking technique	Cooking technique
42	Time	Temperature
43	Amount	Amount
44	Ingredient	Amount
45	Amount	Amount
46	Preparation	Ingredient
47	Recipe	Miscellaneous
48	Amount	Amount
49	Amount	Amount
50	Time	Time
51	Time	Time
52	Recipe	Recipe
53	Cooking technique	Cooking technique
54	Time	Temperature
55	Ingredient	Knowledge
56	Recipe	Cooking technique
57	Cooking technique	Preparation
58	Amount	Amount
59	Cooking technique	Preparation
60	Recipe	Preparation
61	Ingredient	Preparation
62	Amount	Amount
63	Amount	Amount
64	Cooking technique	Cooking technique
65	Time	Time
66	Preparation	Preparation
67	Amount	Ingredient
68	Cooking technique	Ingredient
69	Recipe	Preparation
70	Equipment	Preparation
71	Ingredient	Ingredient
72	Preparation	Ingredient
73	Amount	Amount
74	Recipe	Preparation
75	Amount	Ingredient
76	Ingredient	Ingredient
77	Time	Time
78	Amount	Amount
79	Ingredient	Ingredient
80	Ingredient	Ingredient
81	Cooking technique	Ingredient
82	Ingredient	Ingredient
83	Amount	Amount
84	Amount	Amount
85	Ingredient	Ingredient
86	Ingredient	Ingredient
87	Ingredient	Ingredient
88	Preparation	Preparation
89	Preparation	Preparation
90	Preparation	Recipe
91	Amount	Ingredient
92	Equipment	Recipe
93	Recipe	Recipe
94	Recipe	Ingredient
95	Recipe	Recipe
96	Ingredient	Ingredient
97	Cooking technique	Cooking technique
98	Ingredient	Preparation
99	Amount	Amount
100	Amount	Knowledge
101	Preparation	Cooking technique
102	Ingredient	Ingredient
103	Recipe	Recipe
104	Preparation	Preparation
105	Preparation	Preparation
106	Amount	Cooking technique
107	Preparation	Preparation
108	Ingredient	Ingredient
109	Equipment	Miscellaneous
110	Recipe	Recipe
111	Preparation	Preparation
112	Preparation	Knowledge
113	Amount	Amount
114	Amount	Knowledge
115	Preparation	Preparation
116	Time	Miscellaneous
117	Preparation	Equipment
118	Amount	Amount
119	Amount	Amount
120	Time	Time
121	Time	Preparation
122	Time	Preparation
123	Time	Time
124	Preparation	Ingredient
125	Time	Time
126	Amount	Amount
127	Equipment	Ingredient
128	Ingredient	Preparation
129	Ingredient	Preparation
130	Time	Time
131	Ingredient	Preparation
132	Preparation	Preparation
133	Amount	Amount
134	Amount	Amount
135	Cooking technique	Ingredient
136	Time	Amount
137	Amount	Ingredient
138	Time	Ingredient
139	Time	Ingredient
140	Ingredient	Ingredient
141	Amount	Preparation
142	Ingredient	Ingredient
143	Amount	Preparation
144	Ingredient	Ingredient
145	Ingredient	Preparation
146	Cooking technique	Miscellaneous
147	Ingredient	Preparation
148	Ingredient	Cooking technique
149	Preparation	Preparation
150	Ingredient	Ingredient
151	Cooking technique	Ingredient
152	Cooking technique	Cooking technique
153	Cooking technique	Ingredient
154	Time	Amount
155	Cooking technique	Ingredient
156	Ingredient	Ingredient
157	Recipe	Recipe
158	Preparation	Preparation
159	Cooking technique	Cooking technique
160	Ingredient	Ingredient
161	Ingredient	Ingredient
162	Ingredient	Preparation
163	Temperature	Temperature
164	Time	Time
165	Time	Preparation
166	Amount	Ingredient
167	Amount	Amount
168	Equipment	Ingredient
169	Preparation	Preparation
170	Preparation	Preparation
171	Amount	Amount
172	Cooking technique	Preparation
173	Time	Time
174	Recipe	Recipe
175	Amount	Amount
176	Preparation	Preparation
177	Recipe	Cooking technique
178	Time	Time
179	Time	Cooking technique
180	Preparation	Cooking technique
181	Recipe	Recipe
182	Recipe	Recipe
183	Cooking technique	Cooking technique
184	Recipe	Cooking technique
185	Recipe	Recipe
186	Recipe	Ingredient
187	Ingredient	Ingredient
188	Meal	Meal
189	Time	Preparation
190	Ingredient	Preparation
191	Ingredient	Preparation
192	Amount	Amount
193	Amount	Amount
194	Preparation	Preparation
195	Time	Preparation
196	Cooking technique	Preparation
197	Time	Time
198	Ingredient	Ingredient
199	Amount	Amount
200	Knowledge	Equipment
201	Ingredient	Ingredient
202	Equipment	Preparation
203	Equipment	Preparation
204	Amount	Amount
205	Recipe	Ingredient
206	Equipment	Ingredient
207	Time	Time
208	Time	Cooking technique
209	Time	Preparation
210	Cooking technique	Preparation
211	Ingredient	Ingredient
212	Amount	Amount
213	Ingredient	Preparation
214	Miscellaneous	Equipment
215	Ingredient	Ingredient
216	Ingredient	Recipe
217	Amount	Amount
218	Amount	Ingredient
219	Ingredient	Ingredient
220	Ingredient	Preparation
221	Amount	Amount
222	Preparation	Preparation
223	Ingredient	Ingredient
224	Ingredient	Preparation
225	Recipe	Miscellaneous
226	Amount	Amount
227	Cooking technique	Preparation
228	Cooking technique	Ingredient
229	Ingredient	Preparation
230	Ingredient	Knowledge
231	Amount	Amount
232	Knowledge	Ingredient
233	Cooking technique	Cooking technique
234	Ingredient	Ingredient
235	Recipe	Cooking technique
236	Recipe	Ingredient
237	Ingredient	Preparation
238	Preparation	Preparation
239	Cooking technique	Ingredient
240	Amount	Amount
241	Amount	Ingredient
242	Time	Time
243	Amount	Amount
244	Ingredient	Preparation
245	Recipe	Ingredient
246	Ingredient	Ingredient
247	Ingredient	Preparation
248	Recipe	Recipe
249	Amount	Amount
250	Preparation	Preparation
251	Preparation	Preparation
252	Ingredient	Ingredient
253	Ingredient	Ingredient
254	Ingredient	Ingredient
255	Amount	Amount
256	Preparation	Preparation
257	Time	Ingredient
258	Preparation	Preparation
259	Time	Time
260	Amount	Amount
261	Time	Time
262	Amount	Amount
263	Recipe	Recipe
264	Amount	Amount
265	Amount	Amount
266	Equipment	Equipment
267	Preparation	Preparation
