index	prediction	ground_trouth
0	Knowledge	Recipe
1	Ingredient	Ingredient
2	Recipe	Preparation
3	Recipe	Recipe
4	Amount	Preparation
5	Recipe	Preparation
6	Preparation	Preparation
7	Ingredient	Preparation
8	Time	Temperature
9	Time	Time
10	Preparation	Ingredient
11	Amount	Cooking technique
12	Ingredient	Preparation
13	Amount	Ingredient
14	Ingredient	Ingredient
15	Preparation	Preparation
16	Preparation	Cooking technique
17	Equipment	Cooking technique
18	Time	Amount
19	Cooking technique	Knowledge
20	Preparation	Preparation
21	Time	Time
22	Time	Time
23	Cooking technique	Cooking technique
24	Amount	Amount
25	Preparation	Preparation
26	Amount	Amount
27	Amount	Amount
28	Preparation	Preparation
29	Cooking technique	Preparation
30	Time	Time
31	Amount	Preparation
32	Cooking technique	Preparation
33	Ingredient	Ingredient
34	Preparation	Preparation
35	Amount	Amount
36	Amount	Knowledge
37	Amount	Amount
38	Preparation	Preparation
39	Preparation	Preparation
40	Recipe	Recipe
41	Recipe	Ingredient
42	Knowledge	Amount
43	Recipe	Ingredient
44	Cooking technique	Preparation
45	Recipe	Recipe
46	Recipe	Ingredient
47	Ingredient	Ingredient
48	Ingredient	Ingredient
49	Amount	Amount
50	Amount	Amount
51	Recipe	Preparation
52	Preparation	Preparation
53	Amount	Amount
54	Preparation	Ingredient
55	Knowledge	Recipe
56	Amount	Amount
57	Equipment	Ingredient
58	Equipment	Preparation
59	Recipe	Ingredient
60	Cooking technique	Recipe
61	Recipe	Preparation
62	Amount	Amount
63	Time	Preparation
64	Cooking technique	Cooking technique
65	Recipe	Recipe
66	Recipe	Recipe
67	Cooking technique	Cooking technique
68	Cooking technique	Cooking technique
69	Preparation	Preparation
70	Cooking technique	Preparation
71	Cooking technique	Preparation
72	Amount	Amount
73	Knowledge	Meal
74	Cooking technique	Cooking technique
75	Amount	Ingredient
76	Cooking technique	Ingredient
77	Cooking technique	Ingredient
78	Amount	Amount
79	Ingredient	Ingredient
80	Ingredient	Ingredient
81	Ingredient	Preparation
82	Ingredient	Ingredient
83	Time	Preparation
84	Ingredient	Amount
85	Cooking technique	Cooking technique
86	Recipe	Recipe
87	Recipe	Recipe
88	Recipe	Recipe
89	Ingredient	Recipe
90	Ingredient	Ingredient
91	Recipe	Ingredient
92	Recipe	Recipe
93	Recipe	Recipe
94	Ingredient	Knowledge
95	Recipe	Ingredient
96	Preparation	Ingredient
97	Time	Time
98	Ingredient	Ingredient
99	Cooking technique	Preparation
100	Ingredient	Preparation
101	Ingredient	Equipment
102	Recipe	Miscellaneous
103	Amount	Miscellaneous
104	Preparation	Time
105	Cooking technique	Cooking technique
106	Recipe	Cooking technique
107	Ingredient	Ingredient
108	Cooking technique	Preparation
109	Amount	Amount
110	Ingredient	Ingredient
111	Equipment	Ingredient
112	Preparation	Preparation
113	Cooking technique	Ingredient
114	Amount	Preparation
115	Preparation	Preparation
116	Cooking technique	Ingredient
117	Preparation	Preparation
118	Preparation	Ingredient
119	Ingredient	Knowledge
120	Ingredient	Ingredient
121	Cooking technique	Cooking technique
122	Cooking technique	Cooking technique
123	Preparation	Preparation
124	Ingredient	Preparation
125	Preparation	Preparation
126	Time	Ingredient
127	Preparation	Preparation
128	Ingredient	Ingredient
129	Ingredient	Ingredient
130	Preparation	Preparation
131	Amount	Amount
132	Ingredient	Knowledge
133	Time	Time
134	Amount	Time
135	Amount	Amount
136	Equipment	Equipment
137	Ingredient	Preparation
138	Amount	Ingredient
139	Time	Preparation
140	Time	Ingredient
141	Recipe	Ingredient
142	Cooking technique	Time
143	Ingredient	Ingredient
144	Time	Time
145	Preparation	Preparation
146	Ingredient	Ingredient
147	Ingredient	Ingredient
148	Ingredient	Ingredient
149	Ingredient	Ingredient
150	Amount	Amount
151	Amount	Amount
152	Amount	Amount
153	Ingredient	Ingredient
154	Recipe	Ingredient
155	Cooking technique	Preparation
156	Cooking technique	Temperature
157	Equipment	Ingredient
158	Cooking technique	Cooking technique
159	Knowledge	Preparation
160	Recipe	Recipe
161	Recipe	Cooking technique
162	Ingredient	Ingredient
163	Cooking technique	Ingredient
164	Ingredient	Preparation
165	Recipe	Equipment
166	Cooking technique	Recipe
167	Ingredient	Ingredient
168	Cooking technique	Preparation
169	Time	Time
170	Cooking technique	Preparation
171	Ingredient	Ingredient
172	Time	Preparation
173	Preparation	Preparation
174	Amount	Amount
175	Preparation	Preparation
176	Amount	Amount
177	Ingredient	Preparation
178	Amount	Amount
179	Ingredient	Cooking technique
180	Ingredient	Cooking technique
181	Recipe	Recipe
182	Time	Time
183	Equipment	Equipment
184	Recipe	Recipe
185	Recipe	Ingredient
186	Cooking technique	Preparation
187	Preparation	Preparation
188	Preparation	Preparation
189	Preparation	Amount
190	Time	Time
191	Time	Temperature
192	Amount	Amount
193	Amount	Amount
194	Preparation	Preparation
195	Preparation	Preparation
196	Cooking technique	Preparation
197	Amount	Amount
198	Amount	Amount
199	Recipe	Preparation
200	Time	Ingredient
201	Amount	Amount
202	Cooking technique	Preparation
203	Time	Time
204	Time	Miscellaneous
205	Cooking technique	Cooking technique
206	Amount	Preparation
207	Cooking technique	Preparation
208	Amount	Amount
209	Preparation	Preparation
210	Amount	Amount
211	Recipe	Amount
212	Equipment	Preparation
213	Time	Time
214	Recipe	Ingredient
215	Recipe	Recipe
216	Ingredient	Ingredient
217	Preparation	Preparation
218	Cooking technique	Preparation
219	Ingredient	Ingredient
220	Cooking technique	Preparation
221	Amount	Amount
222	Amount	Preparation
223	Amount	Amount
224	Recipe	Recipe
225	Cooking technique	Cooking technique
226	Amount	Amount
227	Equipment	Preparation
228	Amount	Amount
229	Time	Time
230	Ingredient	Preparation
231	Time	Amount
232	Cooking technique	Cooking technique
233	Cooking technique	Cooking technique
234	Equipment	Miscellaneous
235	Equipment	Amount
236	Time	Time
237	Preparation	Preparation
238	Ingredient	Ingredient
239	Preparation	Amount
240	Time	Amount
241	Amount	Amount
242	Amount	Amount
243	Amount	Amount
244	Cooking technique	Preparation
245	Recipe	Ingredient
246	Recipe	Ingredient
247	Preparation	Preparation
248	Ingredient	Ingredient
249	Preparation	Preparation
250	Equipment	Ingredient
251	Ingredient	Amount
252	Amount	Ingredient
253	Ingredient	Ingredient
254	Amount	Amount
255	Ingredient	Ingredient
256	Cooking technique	Time
257	Ingredient	Ingredient
258	Preparation	Preparation
259	Ingredient	Preparation
260	Amount	Ingredient
261	Amount	Amount
262	Cooking technique	Ingredient
263	Cooking technique	Ingredient
264	Cooking technique	Preparation
265	Amount	Amount
266	Preparation	Preparation
