index	prediction	ground_trouth
0	Recipe	Recipe
1	Recipe	Recipe
2	Amount	Cooking technique
3	Amount	Amount
4	Recipe	Preparation
5	Ingredient	Preparation
6	Time	Temperature
7	Temperature	Time
8	Recipe	Recipe
9	Preparation	Preparation
10	Preparation	Temperature
11	Time	Time
12	Preparation	Preparation
13	Ingredient	Ingredient
14	Ingredient	Preparation
15	Preparation	Preparation
16	Amount	Amount
17	Cooking technique	Knowledge
18	Ingredient	Preparation
19	Ingredient	Knowledge
20	Cooking technique	Cooking technique
21	Preparation	Preparation
22	Preparation	Preparation
23	Amount	Amount
24	Time	Miscellaneous
25	Amount	Amount
26	Amount	Amount
27	Cooking technique	Preparation
28	Cooking technique	Preparation
29	Amount	Amount
30	Preparation	Preparation
31	Recipe	Recipe
32	Recipe	Recipe
33	Ingredient	Ingredient
34	Amount	Amount
35	Recipe	Recipe
36	Amount	Amount
37	Ingredient	Ingredient
38	Ingredient	Ingredient
39	Amount	Amount
40	Ingredient	Ingredient
41	Preparation	Preparation
42	Preparation	Time
43	Recipe	Recipe
44	Preparation	Ingredient
45	Amount	Amount
46	Recipe	Recipe
47	Recipe	Ingredient
48	Ingredient	Ingredient
49	Ingredient	Preparation
50	Cooking technique	Ingredient
51	Amount	Amount
52	Ingredient	Preparation
53	Amount	Preparation
54	Ingredient	Ingredient
55	Cooking technique	Cooking technique
56	Recipe	Knowledge
57	Ingredient	Ingredient
58	Time	Miscellaneous
59	Amount	Amount
60	Cooking technique	Cooking technique
61	Time	Time
62	Equipment	Ingredient
63	Amount	Amount
64	Recipe	Recipe
65	Recipe	Miscellaneous
66	Ingredient	Ingredient
67	Recipe	Cooking technique
68	Amount	Preparation
69	Preparation	Preparation
70	Cooking technique	Cooking technique
71	Cooking technique	Preparation
72	Cooking technique	Ingredient
73	Amount	Amount
74	Cooking technique	Ingredient
75	Amount	Amount
76	Time	Preparation
77	Ingredient	Preparation
78	Ingredient	Ingredient
79	Ingredient	Preparation
80	Ingredient	Ingredient
81	Ingredient	Ingredient
82	Recipe	Ingredient
83	Cooking technique	Preparation
84	Time	Time
85	Amount	Amount
86	Amount	Ingredient
87	Recipe	Ingredient
88	Ingredient	Ingredient
89	Ingredient	Knowledge
90	Cooking technique	Preparation
91	Time	Time
92	Cooking technique	Preparation
93	Preparation	Preparation
94	Cooking technique	Preparation
95	Ingredient	Amount
96	Recipe	Ingredient
97	Cooking technique	Cooking technique
98	Amount	Amount
99	Time	Cooking technique
100	Recipe	Ingredient
101	Ingredient	Recipe
102	Amount	Ingredient
103	Miscellaneous	Cooking technique
104	Time	Preparation
105	Cooking technique	Ingredient
106	Time	Preparation
107	Recipe	Recipe
108	Recipe	Recipe
109	Time	Preparation
110	Time	Ingredient
111	Preparation	Preparation
112	Cooking technique	Cooking technique
113	Recipe	Recipe
114	Ingredient	Preparation
115	Cooking technique	Cooking technique
116	Amount	Amount
117	Amount	Amount
118	Time	Time
119	Amount	Ingredient
120	Cooking technique	Cooking technique
121	Ingredient	Ingredient
122	Amount	Amount
123	Ingredient	Ingredient
124	Preparation	Preparation
125	Ingredient	Preparation
126	Equipment	Equipment
127	Cooking technique	Preparation
128	Ingredient	Preparation
129	Amount	Amount
130	Ingredient	Preparation
131	Amount	Preparation
132	Amount	Amount
133	Ingredient	Ingredient
134	Amount	Amount
135	Time	Ingredient
136	Time	Ingredient
137	Ingredient	Ingredient
138	Time	Time
139	Ingredient	Recipe
140	Amount	Amount
141	Ingredient	Ingredient
142	Ingredient	Ingredient
143	Ingredient	Ingredient
144	Ingredient	Ingredient
145	Ingredient	Equipment
146	Equipment	Equipment
147	Amount	Amount
148	Ingredient	Ingredient
149	Cooking technique	Preparation
150	Cooking technique	Cooking technique
151	Ingredient	Preparation
152	Amount	Amount
153	Ingredient	Ingredient
154	Ingredient	Ingredient
155	Cooking technique	Cooking technique
156	Preparation	Cooking technique
157	Ingredient	Ingredient
158	Knowledge	Ingredient
159	Preparation	Cooking technique
160	Time	Time
161	Time	Time
162	Time	Time
163	Time	Ingredient
164	Ingredient	Ingredient
165	Ingredient	Ingredient
166	Recipe	Ingredient
167	Amount	Amount
168	Amount	Amount
169	Preparation	Preparation
170	Cooking technique	Preparation
171	Time	Time
172	Ingredient	Preparation
173	Ingredient	Preparation
174	Ingredient	Ingredient
175	Equipment	Preparation
176	Preparation	Preparation
177	Ingredient	Ingredient
178	Preparation	Preparation
179	Cooking technique	Preparation
180	Preparation	Preparation
181	Time	Preparation
182	Recipe	Recipe
183	Amount	Amount
184	Recipe	Miscellaneous
185	Amount	Amount
186	Recipe	Meal
187	Cooking technique	Ingredient
188	Time	Time
189	Recipe	Recipe
190	Recipe	Ingredient
191	Cooking technique	Cooking technique
192	Preparation	Preparation
193	Amount	Amount
194	Amount	Recipe
195	Amount	Preparation
196	Time	Time
197	Ingredient	Recipe
198	Cooking technique	Ingredient
199	Amount	Amount
200	Amount	Amount
201	Recipe	Preparation
202	Amount	Amount
203	Amount	Amount
204	Recipe	Ingredient
205	Amount	Amount
206	Recipe	Recipe
207	Cooking technique	Cooking technique
208	Preparation	Preparation
209	Preparation	Temperature
210	Cooking technique	Ingredient
211	Time	Time
212	Ingredient	Equipment
213	Ingredient	Preparation
214	Preparation	Preparation
215	Recipe	Amount
216	Time	Time
217	Cooking technique	Ingredient
218	Time	Time
219	Time	Time
220	Cooking technique	Preparation
221	Cooking technique	Preparation
222	Cooking technique	Preparation
223	Amount	Amount
224	Ingredient	Knowledge
225	Preparation	Preparation
226	Preparation	Preparation
227	Preparation	Ingredient
228	Preparation	Preparation
229	Time	Time
230	Preparation	Preparation
231	Ingredient	Ingredient
232	Preparation	Preparation
233	Ingredient	Preparation
234	Preparation	Preparation
235	Ingredient	Ingredient
236	Ingredient	Ingredient
237	Amount	Amount
238	Cooking technique	Cooking technique
239	Cooking technique	Cooking technique
240	Ingredient	Amount
241	Ingredient	Ingredient
242	Ingredient	Ingredient
243	Ingredient	Preparation
244	Preparation	Preparation
245	Cooking technique	Preparation
246	Cooking technique	Preparation
247	Ingredient	Ingredient
248	Ingredient	Preparation
249	Amount	Amount
250	Preparation	Preparation
251	Ingredient	Ingredient
252	Ingredient	Preparation
253	Ingredient	Ingredient
254	Amount	Amount
255	Ingredient	Ingredient
256	Time	Ingredient
257	Preparation	Cooking technique
258	Amount	Preparation
259	Amount	Amount
260	Ingredient	Preparation
261	Preparation	Preparation
262	Ingredient	Amount
263	Recipe	Recipe
264	Amount	Amount
265	Ingredient	Amount
266	Preparation	Preparation
