index	prediction	ground_trouth
0	Cooking technique	Cooking technique
1	Preparation	Cooking technique
2	Cooking technique	Preparation
3	Preparation	Recipe
4	Recipe	Recipe
5	Amount	Amount
6	Amount	Amount
7	Preparation	Preparation
8	Temperature	Time
9	Preparation	Preparation
10	Preparation	Preparation
11	Preparation	Ingredient
12	Preparation	Ingredient
13	Time	Preparation
14	Cooking technique	Cooking technique
15	Time	Time
16	Amount	Amount
17	Cooking technique	Cooking technique
18	Preparation	Cooking technique
19	Cooking technique	Preparation
20	Amount	Ingredient
21	Amount	Amount
22	Amount	Amount
23	Amount	Amount
24	Amount	Amount
25	Amount	Amount
26	Recipe	Ingredient
27	Time	Preparation
28	Amount	Ingredient
29	Preparation	Preparation
30	Ingredient	Miscellaneous
31	Recipe	Recipe
32	Recipe	Ingredient
33	Recipe	Equipment
34	Recipe	Recipe
35	Recipe	Recipe
36	Cooking technique	Cooking technique
37	Amount	Time
38	Equipment	Equipment
39	Ingredient	Ingredient
40	Ingredient	Ingredient
41	Recipe	Preparation
42	Ingredient	Preparation
43	Ingredient	Miscellaneous
44	Ingredient	Ingredient
45	Amount	Time
46	Recipe	Preparation
47	Time	Time
48	Cooking technique	Cooking technique
49	Preparation	Preparation
50	Ingredient	Ingredient
51	Amount	Amount
52	Time	Time
53	Amount	Amount
54	Recipe	Recipe
55	Preparation	Recipe
56	Cooking technique	Preparation
57	Preparation	Cooking technique
58	Preparation	Preparation
59	Equipment	Preparation
60	Ingredient	Ingredient
61	Preparation	Preparation
62	Amount	Amount
63	Equipment	Ingredient
64	Cooking technique	Ingredient
65	Recipe	Ingredient
66	Amount	Amount
67	Preparation	Preparation
68	Recipe	Miscellaneous
69	Knowledge	Ingredient
70	Recipe	Preparation
71	Recipe	Recipe
72	Preparation	Ingredient
73	Recipe	Ingredient
74	Cooking technique	Miscellaneous
75	Time	Time
76	Amount	Amount
77	Ingredient	Ingredient
78	Ingredient	Ingredient
79	Time	Preparation
80	Ingredient	Ingredient
81	Equipment	Ingredient
82	Ingredient	Preparation
83	Preparation	Ingredient
84	Ingredient	Ingredient
85	Amount	Amount
86	Preparation	Preparation
87	Cooking technique	Cooking technique
88	Recipe	Recipe
89	Preparation	Recipe
90	Preparation	Recipe
91	Preparation	Recipe
92	Ingredient	Recipe
93	Preparation	Recipe
94	Ingredient	Knowledge
95	Ingredient	Knowledge
96	Ingredient	Amount
97	Time	Ingredient
98	Time	Time
99	Preparation	Preparation
100	Cooking technique	Preparation
101	Cooking technique	Cooking technique
102	Miscellaneous	Miscellaneous
103	Time	Time
104	Ingredient	Cooking technique
105	Cooking technique	Preparation
106	Ingredient	Ingredient
107	Ingredient	Cooking technique
108	Preparation	Preparation
109	Preparation	Preparation
110	Preparation	Preparation
111	Ingredient	Amount
112	Ingredient	Preparation
113	Amount	Amount
114	Cooking technique	Knowledge
115	Amount	Amount
116	Amount	Amount
117	Ingredient	Amount
118	Preparation	Meal
119	Recipe	Recipe
120	Recipe	Recipe
121	Preparation	Ingredient
122	Preparation	Preparation
123	Amount	Amount
124	Preparation	Preparation
125	Time	Time
126	Cooking technique	Ingredient
127	Cooking technique	Ingredient
128	Time	Time
129	Preparation	Preparation
130	Amount	Recipe
131	Equipment	Equipment
132	Preparation	Ingredient
133	Amount	Amount
134	Time	Time
135	Time	Preparation
136	Amount	Amount
137	Preparation	Preparation
138	Amount	Amount
139	Ingredient	Amount
140	Amount	Amount
141	Recipe	Ingredient
142	Preparation	Preparation
143	Preparation	Preparation
144	Knowledge	Knowledge
145	Recipe	Recipe
146	Recipe	Time
147	Amount	Amount
148	Ingredient	Ingredient
149	Preparation	Preparation
150	Recipe	Preparation
151	Equipment	Equipment
152	Ingredient	Ingredient
153	Ingredient	Ingredient
154	Time	Preparation
155	Cooking technique	Ingredient
156	Amount	Ingredient
157	Equipment	Ingredient
158	Equipment	Ingredient
159	Preparation	Preparation
160	Temperature	Temperature
161	Ingredient	Ingredient
162	Amount	Amount
163	Amount	Amount
164	Cooking technique	Preparation
165	Cooking technique	Preparation
166	Amount	Preparation
167	Time	Preparation
168	Recipe	Preparation
169	Time	Time
170	Preparation	Preparation
171	Amount	Amount
172	Cooking technique	Preparation
173	Ingredient	Ingredient
174	Knowledge	Preparation
175	Equipment	Preparation
176	Equipment	Ingredient
177	Ingredient	Ingredient
178	Time	Time
179	Ingredient	Preparation
180	Recipe	Recipe
181	Ingredient	Ingredient
182	Amount	Amount
183	Amount	Amount
184	Amount	Amount
185	Ingredient	Ingredient
186	Ingredient	Preparation
187	Time	Cooking technique
188	Preparation	Cooking technique
189	Amount	Amount
190	Ingredient	Time
191	Preparation	Ingredient
192	Amount	Amount
193	Amount	Amount
194	Amount	Amount
195	Ingredient	Ingredient
196	Recipe	Ingredient
197	Recipe	Ingredient
198	Recipe	Ingredient
199	Recipe	Ingredient
200	Amount	Amount
201	Ingredient	Preparation
202	Cooking technique	Cooking technique
203	Ingredient	Cooking technique
204	Cooking technique	Ingredient
205	Temperature	Temperature
206	Ingredient	Ingredient
207	Amount	Amount
208	Amount	Amount
209	Preparation	Preparation
210	Time	Time
211	Amount	Amount
212	Recipe	Preparation
213	Preparation	Ingredient
214	Equipment	Preparation
215	Time	Time
216	Miscellaneous	Preparation
217	Ingredient	Ingredient
218	Preparation	Ingredient
219	Ingredient	Knowledge
220	Ingredient	Cooking technique
221	Recipe	Preparation
222	Amount	Preparation
223	Time	Preparation
224	Recipe	Recipe
225	Cooking technique	Preparation
226	Ingredient	Ingredient
227	Ingredient	Preparation
228	Preparation	Recipe
229	Amount	Amount
230	Preparation	Preparation
231	Ingredient	Ingredient
232	Miscellaneous	Ingredient
233	Cooking technique	Preparation
234	Preparation	Preparation
235	Preparation	Preparation
236	Ingredient	Preparation
237	Cooking technique	Cooking technique
238	Amount	Amount
239	Amount	Amount
240	Preparation	Preparation
241	Recipe	Preparation
242	Amount	Amount
243	Cooking technique	Ingredient
244	Cooking technique	Ingredient
245	Equipment	Preparation
246	Ingredient	Cooking technique
247	Ingredient	Cooking technique
248	Recipe	Cooking technique
249	Ingredient	Preparation
250	Preparation	Preparation
251	Amount	Amount
252	Ingredient	Preparation
253	Preparation	Preparation
254	Cooking technique	Preparation
255	Preparation	Ingredient
256	Ingredient	Ingredient
257	Ingredient	Preparation
258	Ingredient	Ingredient
259	Amount	Ingredient
260	Ingredient	Ingredient
261	Ingredient	Amount
262	Preparation	Preparation
263	Ingredient	Ingredient
264	Ingredient	Ingredient
265	Temperature	Temperature
266	Amount	Amount
267	Preparation	Preparation
