index	prediction	ground_trouth
0	Ingredient	Recipe
1	Recipe	Ingredient
2	Recipe	Preparation
3	Preparation	Recipe
4	Ingredient	Preparation
5	Miscellaneous	Preparation
6	Preparation	Preparation
7	Ingredient	Preparation
8	Recipe	Temperature
9	Time	Time
10	Preparation	Ingredient
11	Amount	Cooking technique
12	Ingredient	Preparation
13	Ingredient	Ingredient
14	Ingredient	Ingredient
15	Amount	Preparation
16	Preparation	Cooking technique
17	Cooking technique	Cooking technique
18	Amount	Amount
19	Cooking technique	Knowledge
20	Preparation	Preparation
21	Time	Time
22	Time	Time
23	Ingredient	Cooking technique
24	Amount	Amount
25	Preparation	Preparation
26	Amount	Amount
27	Amount	Amount
28	Amount	Preparation
29	Cooking technique	Preparation
30	Time	Time
31	Preparation	Preparation
32	Preparation	Preparation
33	Equipment	Ingredient
34	Cooking technique	Preparation
35	Amount	Amount
36	Knowledge	Knowledge
37	Amount	Amount
38	Preparation	Preparation
39	Ingredient	Preparation
40	Recipe	Recipe
41	Ingredient	Ingredient
42	Amount	Amount
43	Recipe	Ingredient
44	Preparation	Preparation
45	Recipe	Recipe
46	Ingredient	Ingredient
47	Ingredient	Ingredient
48	Recipe	Ingredient
49	Amount	Amount
50	Amount	Amount
51	Recipe	Preparation
52	Preparation	Preparation
53	Amount	Amount
54	Preparation	Ingredient
55	Recipe	Recipe
56	Amount	Amount
57	Amount	Ingredient
58	Preparation	Preparation
59	Recipe	Ingredient
60	Recipe	Recipe
61	Cooking technique	Preparation
62	Amount	Amount
63	Ingredient	Preparation
64	Cooking technique	Cooking technique
65	Recipe	Recipe
66	Ingredient	Recipe
67	Cooking technique	Cooking technique
68	Preparation	Cooking technique
69	Preparation	Preparation
70	Cooking technique	Preparation
71	Preparation	Preparation
72	Amount	Amount
73	Recipe	Meal
74	Recipe	Cooking technique
75	Recipe	Ingredient
76	Cooking technique	Ingredient
77	Preparation	Ingredient
78	Amount	Amount
79	Time	Ingredient
80	Ingredient	Ingredient
81	Preparation	Preparation
82	Ingredient	Ingredient
83	Preparation	Preparation
84	Amount	Amount
85	Cooking technique	Cooking technique
86	Recipe	Recipe
87	Recipe	Recipe
88	Recipe	Recipe
89	Preparation	Recipe
90	Recipe	Ingredient
91	Recipe	Ingredient
92	Recipe	Recipe
93	Cooking technique	Recipe
94	Knowledge	Knowledge
95	Preparation	Ingredient
96	Recipe	Ingredient
97	Time	Time
98	Equipment	Ingredient
99	Cooking technique	Preparation
100	Cooking technique	Preparation
101	Knowledge	Equipment
102	Miscellaneous	Miscellaneous
103	Preparation	Miscellaneous
104	Time	Time
105	Ingredient	Cooking technique
106	Cooking technique	Cooking technique
107	Recipe	Ingredient
108	Preparation	Preparation
109	Amount	Amount
110	Amount	Ingredient
111	Ingredient	Ingredient
112	Ingredient	Preparation
113	Ingredient	Ingredient
114	Preparation	Preparation
115	Ingredient	Preparation
116	Ingredient	Ingredient
117	Cooking technique	Preparation
118	Preparation	Ingredient
119	Cooking technique	Knowledge
120	Ingredient	Ingredient
121	Recipe	Cooking technique
122	Cooking technique	Cooking technique
123	Preparation	Preparation
124	Preparation	Preparation
125	Amount	Preparation
126	Time	Ingredient
127	Preparation	Preparation
128	Ingredient	Ingredient
129	Ingredient	Ingredient
130	Cooking technique	Preparation
131	Amount	Amount
132	Recipe	Knowledge
133	Time	Time
134	Amount	Time
135	Amount	Amount
136	Preparation	Equipment
137	Preparation	Preparation
138	Amount	Ingredient
139	Preparation	Preparation
140	Time	Ingredient
141	Recipe	Ingredient
142	Time	Time
143	Cooking technique	Ingredient
144	Ingredient	Time
145	Preparation	Preparation
146	Ingredient	Ingredient
147	Ingredient	Ingredient
148	Preparation	Ingredient
149	Recipe	Ingredient
150	Amount	Amount
151	Amount	Amount
152	Amount	Amount
153	Ingredient	Ingredient
154	Recipe	Ingredient
155	Preparation	Preparation
156	Temperature	Temperature
157	Cooking technique	Ingredient
158	Preparation	Cooking technique
159	Knowledge	Preparation
160	Recipe	Recipe
161	Recipe	Cooking technique
162	Cooking technique	Ingredient
163	Ingredient	Ingredient
164	Preparation	Preparation
165	Ingredient	Equipment
166	Recipe	Recipe
167	Preparation	Ingredient
168	Preparation	Preparation
169	Time	Time
170	Preparation	Preparation
171	Ingredient	Ingredient
172	Preparation	Preparation
173	Preparation	Preparation
174	Amount	Amount
175	Preparation	Preparation
176	Amount	Amount
177	Preparation	Preparation
178	Amount	Amount
179	Preparation	Cooking technique
180	Preparation	Cooking technique
181	Recipe	Recipe
182	Time	Time
183	Equipment	Equipment
184	Recipe	Recipe
185	Preparation	Ingredient
186	Preparation	Preparation
187	Preparation	Preparation
188	Ingredient	Preparation
189	Amount	Amount
190	Time	Time
191	Time	Temperature
192	Amount	Amount
193	Amount	Amount
194	Preparation	Preparation
195	Preparation	Preparation
196	Cooking technique	Preparation
197	Amount	Amount
198	Amount	Amount
199	Ingredient	Preparation
200	Time	Ingredient
201	Amount	Amount
202	Preparation	Preparation
203	Time	Time
204	Knowledge	Miscellaneous
205	Cooking technique	Cooking technique
206	Miscellaneous	Preparation
207	Preparation	Preparation
208	Amount	Amount
209	Preparation	Preparation
210	Amount	Amount
211	Amount	Amount
212	Preparation	Preparation
213	Time	Time
214	Recipe	Ingredient
215	Recipe	Recipe
216	Preparation	Ingredient
217	Preparation	Preparation
218	Recipe	Preparation
219	Ingredient	Ingredient
220	Cooking technique	Preparation
221	Amount	Amount
222	Ingredient	Preparation
223	Amount	Amount
224	Ingredient	Recipe
225	Preparation	Cooking technique
226	Amount	Amount
227	Preparation	Preparation
228	Amount	Amount
229	Time	Time
230	Ingredient	Preparation
231	Amount	Amount
232	Preparation	Cooking technique
233	Preparation	Cooking technique
234	Miscellaneous	Miscellaneous
235	Amount	Amount
236	Time	Time
237	Preparation	Preparation
238	Recipe	Ingredient
239	Amount	Amount
240	Amount	Amount
241	Amount	Amount
242	Amount	Amount
243	Amount	Amount
244	Ingredient	Preparation
245	Ingredient	Ingredient
246	Recipe	Ingredient
247	Preparation	Preparation
248	Ingredient	Ingredient
249	Preparation	Preparation
250	Ingredient	Ingredient
251	Knowledge	Amount
252	Ingredient	Ingredient
253	Ingredient	Ingredient
254	Amount	Amount
255	Ingredient	Ingredient
256	Time	Time
257	Ingredient	Ingredient
258	Preparation	Preparation
259	Preparation	Preparation
260	Amount	Ingredient
261	Amount	Amount
262	Cooking technique	Ingredient
263	Preparation	Ingredient
264	Preparation	Preparation
265	Amount	Amount
266	Preparation	Preparation
