index	prediction	ground_trouth
0	Recipe	Recipe
1	Cooking technique	Cooking technique
2	Preparation	Cooking technique
3	Preparation	Preparation
4	Recipe	Preparation
5	Amount	Amount
6	Time	Preparation
7	Ingredient	Ingredient
8	Recipe	Ingredient
9	Amount	Amount
10	Preparation	Preparation
11	Preparation	Preparation
12	Ingredient	Ingredient
13	Recipe	Cooking technique
14	Time	Cooking technique
15	Time	Time
16	Ingredient	Ingredient
17	Miscellaneous	Miscellaneous
18	Preparation	Preparation
19	Amount	Amount
20	Time	Time
21	Amount	Amount
22	Cooking technique	Cooking technique
23	Time	Time
24	Preparation	Cooking technique
25	Recipe	Recipe
26	Recipe	Recipe
27	Amount	Amount
28	Preparation	Amount
29	Preparation	Preparation
30	Ingredient	Preparation
31	Ingredient	Equipment
32	Preparation	Preparation
33	Preparation	Preparation
34	Ingredient	Ingredient
35	Preparation	Preparation
36	Equipment	Equipment
37	Recipe	Recipe
38	Ingredient	Ingredient
39	Recipe	Ingredient
40	Ingredient	Ingredient
41	Ingredient	Amount
42	Preparation	Preparation
43	Amount	Amount
44	Ingredient	Amount
45	Ingredient	Amount
46	Time	Amount
47	Time	Time
48	Ingredient	Ingredient
49	Preparation	Preparation
50	Time	Time
51	Amount	Amount
52	Preparation	Ingredient
53	Amount	Amount
54	Amount	Amount
55	Preparation	Preparation
56	Preparation	Preparation
57	Time	Temperature
58	Recipe	Recipe
59	Amount	Amount
60	Cooking technique	Preparation
61	Preparation	Preparation
62	Ingredient	Equipment
63	Cooking technique	Cooking technique
64	Cooking technique	Cooking technique
65	Time	Time
66	Recipe	Ingredient
67	Amount	Amount
68	Temperature	Temperature
69	Preparation	Cooking technique
70	Preparation	Ingredient
71	Preparation	Preparation
72	Recipe	Ingredient
73	Preparation	Preparation
74	Preparation	Preparation
75	Recipe	Recipe
76	Preparation	Cooking technique
77	Recipe	Cooking technique
78	Preparation	Preparation
79	Preparation	Preparation
80	Amount	Amount
81	Amount	Amount
82	Ingredient	Preparation
83	Preparation	Preparation
84	Ingredient	Ingredient
85	Preparation	Preparation
86	Time	Time
87	Preparation	Preparation
88	Preparation	Preparation
89	Preparation	Recipe
90	Preparation	Recipe
91	Preparation	Ingredient
92	Ingredient	Amount
93	Preparation	Preparation
94	Time	Time
95	Preparation	Preparation
96	Preparation	Ingredient
97	Preparation	Preparation
98	Preparation	Cooking technique
99	Time	Time
100	Recipe	Cooking technique
101	Cooking technique	Cooking technique
102	Knowledge	Recipe
103	Cooking technique	Ingredient
104	Ingredient	Ingredient
105	Preparation	Preparation
106	Recipe	Knowledge
107	Ingredient	Recipe
108	Preparation	Temperature
109	Ingredient	Ingredient
110	Preparation	Preparation
111	Recipe	Ingredient
112	Amount	Amount
113	Recipe	Preparation
114	Cooking technique	Ingredient
115	Preparation	Preparation
116	Amount	Amount
117	Preparation	Preparation
118	Preparation	Preparation
119	Ingredient	Meal
120	Recipe	Ingredient
121	Preparation	Ingredient
122	Recipe	Ingredient
123	Recipe	Ingredient
124	Recipe	Ingredient
125	Preparation	Preparation
126	Amount	Amount
127	Preparation	Preparation
128	Ingredient	Ingredient
129	Time	Time
130	Preparation	Time
131	Preparation	Ingredient
132	Amount	Ingredient
133	Preparation	Preparation
134	Preparation	Preparation
135	Preparation	Recipe
136	Recipe	Recipe
137	Preparation	Time
138	Recipe	Preparation
139	Preparation	Ingredient
140	Preparation	Ingredient
141	Recipe	Ingredient
142	Preparation	Preparation
143	Equipment	Equipment
144	Preparation	Preparation
145	Cooking technique	Cooking technique
146	Amount	Amount
147	Preparation	Preparation
148	Preparation	Preparation
149	Time	Time
150	Ingredient	Preparation
151	Cooking technique	Miscellaneous
152	Ingredient	Cooking technique
153	Equipment	Ingredient
154	Ingredient	Ingredient
155	Ingredient	Ingredient
156	Preparation	Cooking technique
157	Amount	Amount
158	Preparation	Cooking technique
159	Preparation	Cooking technique
160	Time	Time
161	Preparation	Preparation
162	Recipe	Recipe
163	Amount	Amount
164	Amount	Knowledge
165	Preparation	Miscellaneous
166	Amount	Amount
167	Recipe	Recipe
168	Amount	Amount
169	Ingredient	Ingredient
170	Equipment	Preparation
171	Miscellaneous	Ingredient
172	Time	Time
173	Amount	Amount
174	Amount	Preparation
175	Amount	Amount
